,word,df1,df2,df3,df4,df5,df6,df7,df8,df9,df10,df11,df12,df13,df14,df15,df16,df17,df18,df19,df20,df21,df22,df23,df24,df25,df26,df27,df28,df29,df30,df31,df32,df33,df34,df35,df36,df37,df38,df39,df40,df41,df42,df43,df44,df45,df46,df47,df48,df49,df50
800,now,3.3025851,4.555348,3.1972246,2.7917595,2.609438,2.3862944,3.3025851,3.0794415,1.0,1.6931472,2.3862944,2.3862944,2.0986123,1.0,1.6931472,1.6931472,0,1.6931472,2.0986123,2.0986123,2.9459102,1.6931472,2.7917595,2.7917595,4.218876,2.0986123,1.6931472,0,1.0,2.9459102,2.0986123,1.0,2.609438,1.0,2.9459102,1.0,1.6931472,2.0986123,2.0986123,0,0,2.0986123,1.6931472,2.0986123,2.3862944,0,0,1.6931472,1.0,0
801,abrupt,0,1.6931472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
802,chang,0,2.9459102,1.0,0,0,0,2.3862944,1.6931472,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,1.0,2.3862944,0,0,0,0,1.0,0,1.0,0,1.0,2.3862944,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0
803,spend,0,2.7917595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6931472,0,0,0,0,1.0,1.6931472,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,1.0,0,0,0
804,lesson,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6931472,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
805,work,1.0,3.8903718,1.6931472,1.6931472,0,0,1.0,4.0910425,1.6931472,1.0,1.0,1.0,2.0986123,1.0,0,1.0,1.0,0,0,0,0,1.6931472,1.6931472,0,3.0794415,3.1972246,0,0,0,0,0,0,0,1.0,0,1.6931472,2.7917595,1.6931472,0,0,2.609438,1.0,0,1.6931472,0,1.0,2.3862944,0,0,0
806,copi,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
807,hungri,1.6931472,1.6931472,0,0,0,0,0,2.0986123,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
808,earn,0,1.6931472,0,0,2.0986123,0,0,2.0986123,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0
809,sent,0,2.3862944,2.0986123,0,0,0,0,2.0986123,0,1.6931472,0,0,0,0,1.0,0,1.0,0,0,1.6931472,2.0986123,0,2.0986123,0,2.0986123,1.0,1.0,1.0,2.3862944,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.0,1.0,0
810,keep,2.609438,2.0986123,1.0,2.0986123,1.0,0,1.0,1.0,0,0,0,0,1.6931472,0,0,0,2.3862944,1.0,1.6931472,2.0986123,0,1.6931472,0,1.0,2.3862944,1.6931472,1.0,0,1.0,0,1.0,0,2.0986123,1.0,2.0986123,0,0,0,1.0,0,1.0,0,1.6931472,0,0,0,1.6931472,0,1.0,0
811,lost,2.0986123,3.1972246,0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,1.6931472,1.0,0,0,1.0,0,1.0,1.0,0,0,0,1.0,1.6931472,1.0,0,1.0,0,0,0,1.0,1.6931472,1.6931472,0,0,0,0,0,0,0,0,0,0,0,1.6931472,0,0,1.6931472,0
812,strength,0,2.0986123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,1.6931472,1.6931472,0,0,0,0,0,0
813,interest,1.0,3.7725887,1.0,0,0,1.0,0,0,0,1.0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.6931472,2.0986123,0,0,0,1.0,0,0,0,0,1.6931472,1.0,1.6931472,0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,0
814,obtain,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
